cell,integration_cluster,cell_type,sample_type
X134540466014574.N,1,Effector/Memory CD4+ T cells,N
X134540466538716.N,3,Pro-angiogenesis Macrophage,N
X134540478559981.N,2,Pro-angiogenesis Macrophage,N
X134540478597939.N,13,Lung Cancer Cell,N
X134540478798619.N,4,Naive CD4+ T cells,N
X134540478798619.T,1,CD8+ T cell,T
X134540479052075.N,6,Natural killer cell,N
X134540479289588.T,0,CD4+ T cell,T
X134540479290101.T,14,Blood Cell,T
X134540479387948.T,0,CD4+ T cell,T
X134540497639718.T,0,Tfh/Th1 helper CD4+ T cells,T
X134540497663862.T,5,B Cell,T
X134540497677037.N,3,Pro-angiogenesis Macrophage,N
X134540497698078.N,0,Effector/Memory CD4+ T cells,N
X134540497705716.T,1,CD8+ T cell,T
X134540498258854.T,11,LAMP3 cDC,T
X134592125065644.T,6,Exhausted CD8+ T cells,T
X134592125130525.N,0,Effector/Memory CD8+ T cells,N
X134592125332253.T,0,Effector/Memory CD8+ T cells,T
X134592125388581.T,1,Exhausted CD8+ T cells,T
X134592125659995.N,8,Lung Cancer Cell,N
X134592125684979.N,0,Effector/Memory CD4+ T cells,N
X134592125942070.N,0,Effector/Memory CD4+ T cells,N
X134592140065205.N,3,Pro-angiogenesis Macrophage,N
X134592140537054.T,1,Exhausted CD8+ T cells,T
X134592140588918.N,7,Pro-angiogenesis Macrophage,N
X134592152652140.N,3,Pro-angiogenesis Macrophage,N
X134592152881509.T,1,Effector/Memory CD8+ T cells,T
X134592171460980.N,1,Effector/Memory CD4+ T cells,N
X134592171465459.T,4,Macrophage,T
X134592171498411.N,4,Naive CD4+ T cells,N
X134592171526501.N,3,Pro-angiogenesis Macrophage,N
X134592171526901.N,6,Natural killer cell,N
X134592171752308.N,0,Effector/Memory CD4+ T cells,N
X134592171788013.T,0,CD4+ T cell,T
X134600580873117.N,15,pDC,N
X134600581302181.T,10,CAFinfla,T
X134600581303131.T,0,Tfh/Th1 helper CD4+ T cells,T
X134600581311789.N,6,Natural killer cell,N
X134600581368668.T,2,Macrophage,T
X134600595519276.N,4,Pro-angiogenesis Macrophage,N
X134600595524892.N,1,Natural killer cell,N
X134600595721524.T,0,T regulatory cells,T
X134600596285803.N,4,Macrophage,N
X134600608147870.N,2,Pro-angiogenesis Macrophage,N
X134600608373555.T,4,Blood Cell,T
X134600608594669.N,0,Naive CD4+ T cells,N
X134600608901867.T,0,Blood Cell,T
X134600627181853.T,0,Effector/Memory CD4+ T cells,T
X134936662498148.T,1,Exhausted CD8+ T cells,T
X134936662595829.T,1,Effector/Memory CD8+ T cells,T
X134936662788509.N,1,CD8 T or NK cell,N
X134936662849819.T,5,B Cell,T
X134936676690156.N,6,Natural killer cell,N
X134936676978020.T,2,Phagocytosis Macrophage,T
X134936676984604.N,6,Natural killer cell,N
X134936677440868.T,5,B Cell,T
X134936677497590.N,3,Pro-angiogenesis Macrophage,N
X134936689589542.N,11,cDC2,N
X134936689794403.N,7,Pro-angiogenesis Macrophage,N
X134936689797411.N,2,Pro-angiogenesis Macrophage,N
X134936689817332.T,1,Exhausted CD8+ T cells,T
X134936690056419.T,10,CAFmyo,T
X134936708107622.T,1,Effector/Memory CD8+ T cells,T
X134936708110707.N,3,Pro-angiogenesis Macrophage,N
X134936708173086.T,1,Exhausted CD8+ T cells,T
X134936708437726.T,1,CD8+ T cell,T
X134936708660014.T,5,B Cell,T
X134936708724653.N,0,Naive CD4+ T cells,N
X134936708921075.N,2,Pro-angiogenesis Macrophage,N
X134936708999405.T,0,CD4+ T cell,T
X134938004442477.T,5,B Cell,T
X134938004703156.N,2,Pro-angiogenesis Macrophage,N
X134938018835230.N,2,Pro-angiogenesis Macrophage,N
X134938018866926.T,5,B Cell,T
X134938018867996.T,2,Macrophage,T
X134938019186989.N,3,Pro-angiogenesis Macrophage,N
X134938019387180.T,0,CD4+ T cell,T
X134938031414190.T,5,B Cell,T
X134938031962908.T,10,CAFinfla,T
X134938032266547.N,3,Pro-angiogenesis Macrophage,N
X134938050289006.T,0,T regulatory cells,T
X134938050612573.T,11,Macrophage or Dendritic Cell,T
X134938051107627.T,5,B Cell,T
X134938051112308.N,6,Natural killer cell,N
X134938051135790.T,1,Effector/Memory CD8+ T cells,T
X135014240115428.T,10,CAFmyo,T
X135014240406436.T,0,Effector/Memory CD4+ T cells,T
X135014240697139.N,2,Pro-angiogenesis Macrophage,N
X135014254599595.T,6,Natural killer cell,T
X135014267148068.N,8,Normal Fibroblast,N
X135014267180899.N,0,Macrophage,N
X135014267415269.T,0,T regulatory cells,T
X135014267439838.N,2,Pro-angiogenesis Macrophage,N
X135014267440037.T,0,CD4+ T cell,T
X135014267448611.N,3,Pro-angiogenesis Macrophage,N
X135014267602797.N,7,Macrophage,N
X135014267931886.N,3,Pro-angiogenesis Macrophage,N
X135014267940125.T,4,Phagocytosis Macrophage,T
X135014267959669.T,4,Macrophage,T
X135014286506798.T,5,B Cell,T
X135064437348700.N,6,Natural killer cell,N
X135064437548955.T,10,CAFadi,T
X135064437582619.N,4,Pro-angiogenesis Macrophage,N
X135064437812068.T,1,CD8+ T cell,T
X135064438028190.T,4,Phagocytosis Macrophage,T
X135064451963630.T,3,Phagocytosis Macrophage,T
X135064452722085.T,5,B Cell,T
X135064452787444.N,2,Pro-angiogenesis Macrophage,N
X135064452811558.T,5,B Cell,T
X135064452819315.T,0,CD4+ T cell,T
X135064465069926.T,0,T regulatory cells,T
X135064483711333.T,2,Macrophage,T
X135064483712349.N,2,Pro-angiogenesis Macrophage,N
X135064483719020.T,9,CD8+ T cell,T
X135064484203446.T,6,Natural killer cell,T
X135064484244779.T,1,CD8+ T cell,T
X135081885556005.T,4,Macrophage,T
X135081885619997.T,0,CD4 or CD8 T cell,T
X135081886074789.T,5,B Cell,T
X135081886104365.N,3,Pro-angiogenesis Macrophage,N
X135081886116708.N,2,Pro-angiogenesis Macrophage,N
X135081886149539.N,6,Natural killer cell,N
X135081913169710.N,0,Blood Cell,N
X135081913182004.N,0,Blood Cell,N
X135081913600310.T,0,CD4+ T cell,T
X135081913600859.T,9,Exhausted CD8+ T cells,T
X135081913640814.N,1,Effector/Memory CD4+ T cells,N
X135081913662686.N,3,Macrophage,N
X135081931692918.T,1,Exhausted CD8+ T cells,T
X135081931786166.T,5,B Cell,T
X135081931795307.N,15,pDC,N
X135081931954979.N,4,Pro-angiogenesis Macrophage,N
X135081931959076.N,2,Pro-angiogenesis Macrophage,N
X135081932016949.N,14,Mast cell,N
X135081932307828.N,6,Natural killer cell,N
X135081932318430.N,0,Effector/Memory CD4+ T cells,N
X135081932512692.T,7,Pro-inflammatory Macrophage,T
X135081932568822.N,2,Pro-angiogenesis Macrophage,N
X135149129001700.T,0,Effector/Memory CD4+ T cells,T
X135149143641308.T,1,CD8+ T cell,T
X135149143840619.T,1,CD8+ T cell,T
X135149143840995.N,7,Pro-angiogenesis Macrophage,N
X135149143935276.T,10,CAFinfla,T
X135149155968947.T,2,Macrophage,T
X135149156488989.T,0,CD4+ T cell,T
X135149156679006.N,3,Pro-angiogenesis Macrophage,N
X135149175040356.T,3,Macrophage,T
X135149175594334.N,2,Pro-angiogenesis Macrophage,N
X135149175597291.T,0,Tfh/Th1 helper CD4+ T cells,T
X135150471080733.T,9,Exhausted CD8+ T cells,T
X135150471141156.N,3,Pro-angiogenesis Macrophage,N
X135150471165859.T,5,B Cell,T
X135150471329581.N,5,Blood Cell,N
X135150471395245.N,2,Pro-angiogenesis Macrophage,N
X135150471407413.N,3,Pro-angiogenesis Macrophage,N
X135150471670003.T,0,T regulatory cells,T
X135150485498798.T,0,CD8+ T cell,T
X135150486308637.N,2,Pro-angiogenesis Macrophage,N
X135150498343262.T,7,Macrophage,T
X135150498430198.T,1,Exhausted CD8+ T cells,T
X135150498700509.N,6,Natural killer cell,N
X135150498856229.N,8,Lung Cancer Cell,N
X135150498900398.N,2,Pro-angiogenesis Macrophage,N
X135150517049774.T,5,B Cell,T
X135150517540660.N,7,Pro-angiogenesis Macrophage,N
X135571511929691.N,1,Effector/Memory CD4+ T cells,N
X135571512126758.N,3,Pro-angiogenesis Macrophage,N
X135571512150837.T,0,CD8+ T cell,T
X135571512441205.N,2,Pro-angiogenesis Macrophage,N
X135571512682739.T,2,Phagocytosis Macrophage,T
X135571526863222.N,8,CAFadi,N
X135571527056228.N,0,Effector/Memory CD4+ T cells,N
X135571527063340.T,4,Macrophage,T
X135571527289782.N,6,Natural killer cell,N
X135571539192228.N,0,Blood Cell,N
X135571539417907.N,0,Effector/Memory CD4+ T cells,N
X135571539446509.T,1,Exhausted CD8+ T cells,T
X135571539454684.N,4,Macrophage,N
X135571539901347.T,0,Effector/Memory CD8+ T cells,T
X135571539970787.T,12,Endothelial Cells,T
X135571558034654.T,1,Effector/Memory CD8+ T cells,T
X135571558513524.N,2,Pro-angiogenesis Macrophage,N
X135571558845350.T,5,B Cell,T
X135699958290668.N,0,Blood Cell,N
X135699958806901.N,8,CAFadi,N
X135699958980003.T,9,T regulatory cells,T
X135699959003942.N,2,Pro-angiogenesis Macrophage,N
X135699972906412.N,0,Effector/Memory CD4+ T cells,N
X135699972966766.T,0,CD4+ T cell,T
X135699972970205.N,4,Pro-angiogenesis Macrophage,N
X135699973192117.N,0,Effector/Memory CD4+ T cells,N
X135699973233883.N,8,Non Blood Cell,N
X135699973433564.T,8,Non Stromal Cell,T
X135699973466014.T,8,Non Stromal Cell,T
X135699973692764.N,0,Effector/Memory CD4+ T cells,N
X135699973696862.N,0,Effector/Memory CD4+ T cells,N
X135699973752750.N,0,Effector/Memory CD4+ T cells,N
X135699985750811.T,0,CD4+ T cell,T
X135699985812190.T,9,Exhausted CD8+ T cells,T
X135699986036468.T,4,Macrophage,T
X135700004395292.N,4,Pro-angiogenesis Macrophage,N
X135700004624292.T,0,T regulatory cells,T
X135700005141227.N,3,Pro-angiogenesis Macrophage,N
X135700005178155.N,2,Pro-angiogenesis Macrophage,N
X155842549860212.N,2,Pro-angiogenesis Macrophage,N
X155842550033755.T,6,Effector/Memory CD8+ T cells,T
X155842550066020.N,8,Lung Cancer Cell,N
X155842550294318.T,2,Phagocytosis Macrophage,T
X155842550360924.T,5,B Cell,T
X155842564214195.N,6,Natural killer cell,N
X155842564470710.T,10,CAFinfla,T
X155842564541668.T,5,B Cell,T
X155842564733667.T,0,T regulatory cells,T
X155842564746548.T,5,B Cell,T
X155842564811997.N,6,Natural killer cell,N
X155842565003677.T,1,CD8+ T cell,T
X155842565060843.N,3,Pro-angiogenesis Macrophage,N
X155842565064622.N,3,Pro-angiogenesis Macrophage,N
X155842576805163.T,5,B Cell,T
X155842577550261.T,0,CD4+ T cell,T
X155842577587427.T,5,B Cell,T
X155842595941292.T,1,CD4 or CD8 T cell,T
X155842596256678.N,8,Endothelial Cells,N
X155842596457269.N,3,Pro-angiogenesis Macrophage,N
X155842596460766.N,2,Pro-angiogenesis Macrophage,N
X155842596489500.N,0,Effector/Memory CD4+ T cells,N
X155888854685469.T,0,CD4+ T cell,T
X155888854686644.T,2,Phagocytosis Macrophage,T
X155888854719285.N,0,Naive CD4+ T cells,N
X155888869554614.T,1,Exhausted CD8+ T cells,T
X155888869625059.N,7,Macrophage,N
X155888869885805.N,2,Pro-angiogenesis Macrophage,N
X155888870082419.N,0,Blood Cell,N
X155888870092197.N,7,Pro-angiogenesis Macrophage,N
X155888881912605.T,1,Exhausted CD8+ T cells,T
X155888882173798.N,1,Effector/Memory CD8+ T cells,N
X155888882400108.T,8,Cancer Associated Fibroblasts,T
X155888882503078.N,0,Effector/Memory CD4+ T cells,N
X155888900790566.T,0,T regulatory cells,T
X155888901275059.T,4,Macrophage,T
X155888901348636.T,3,Macrophage,T
X155888901372654.T,0,Natural killer cell,T
X155888901379877.T,10,CAFinfla,T
X155888901548398.N,3,Pro-angiogenesis Macrophage,N
X155888901569259.N,6,Natural killer cell,N
X155911403235046.N,0,CD4 or CD8 T cell,N
X155911403554606.N,0,Effector/Memory CD4+ T cells,N
X155911403990245.T,0,T regulatory cells,T
X155911404010278.N,1,Effector/Memory CD8+ T cells,N
X155911404018547.N,6,Natural killer cell,N
X155911417936286.N,1,Effector/Memory CD8+ T cells,N
X155911417944862.N,7,Pro-inflammatory Macrophage,N
X155911417969958.N,1,Effector/Memory CD4+ T cells,N
X155911418136436.T,0,T regulatory cells,T
X155911418140454.N,8,Stromal Cell,N
X155911418165613.T,5,B Cell,T
X155911418210164.T,4,Phagocytosis Macrophage,T
X155911418235110.N,3,Pro-angiogenesis Macrophage,N
X155911418402667.N,0,Blood Cell,N
X155911418730740.T,5,B Cell,T
X155911430552358.N,2,Pro-angiogenesis Macrophage,N
X155911430818526.T,3,Pro-angiogenesis Macrophage,T
X155911430978412.T,14,Mast cell,T
X155911449332149.N,2,Pro-angiogenesis Macrophage,N
X155911449332149.T,5,B Cell,T
X155911449922995.T,1,Effector/Memory CD8+ T cells,T
X155911450151733.T,3,Macrophage,T
X155911450180396.T,4,Macrophage,T
X155971398588150.N,0,Effector/Memory CD4+ T cells,N
X155971398588189.T,5,B Cell,T
X155971398613356.T,5,B Cell,T
X155971398810867.T,0,T regulatory cells,T
X155971398842158.N,0,Effector/Memory CD4+ T cells,N
X155971398883629.T,0,CD4 or CD8 T cell,T
X155971399338933.T,9,cDC1,T
X155971399370525.T,0,Effector/Memory CD8+ T cells,T
X155971399400667.T,1,CD8+ T cell,T
X155971413204269.T,4,Phagocytosis Macrophage,T
X155971413235573.T,0,CD4 or CD8 T cell,T
X155971413240748.N,3,Pro-angiogenesis Macrophage,N
X155971413564710.N,6,Natural killer cell,N
X155971413982581.T,0,Naive CD4+ T cells,T
X155971414084979.N,2,Pro-angiogenesis Macrophage,N
X155971426405093.N,12,Endothelial Cells,N
X155971426674483.N,13,Lung Cancer Cell,N
X155972606474667.N,4,Pro-angiogenesis Macrophage,N
X155972606551902.T,0,CD4 or CD8 T cell,T
X155972606834595.N,0,Naive CD4+ T cells,N
X155972606846891.T,2,Phagocytosis Macrophage,T
X155972621724980.N,1,Effector/Memory CD4+ T cells,N
X155972621777268.T,1,Exhausted CD8+ T cells,T
X155972633745821.N,2,Pro-angiogenesis Macrophage,N
X155972633803621.T,1,CD8+ T cell,T
X155972652681651.T,9,Natural killer cell,T
X155972652951397.T,5,B Cell,T
X155972652952363.N,3,Pro-angiogenesis Macrophage,N
X155972653430574.T,4,Macrophage,T
X155972653504795.T,5,Blood Cell,T
X156024146605869.T,1,Effector/Memory CD8+ T cells,T
X156024146873068.N,2,Pro-angiogenesis Macrophage,N
X156024146914101.N,1,Effector/Memory CD8+ T cells,N
X156024160799462.N,11,Pro-angiogenesis Macrophage,N
X156024161090923.N,7,Pro-angiogenesis Macrophage,N
X156024161123179.N,2,Pro-angiogenesis Macrophage,N
X156024161134381.T,4,Macrophage,T
X156024161355629.T,5,B Cell,T
X156024173976797.N,7,Macrophage,N
X156024174206238.T,4,Blood Cell,T
X156024192559915.N,2,Pro-angiogenesis Macrophage,N
X156024192560499.T,9,CD4 or CD8 T cell,T
X156024192808692.N,2,Pro-angiogenesis Macrophage,N
X156024193043172.N,2,Pro-angiogenesis Macrophage,N
X156024193108700.T,5,B Cell,T
X156453508861291.T,2,Phagocytosis Macrophage,T
X156453508930996.N,11,LAMP3 cDC,N
X156453523277742.T,2,Phagocytosis Macrophage,T
X156453523536310.N,0,Effector/Memory CD4+ T cells,N
X156453535894324.N,8,Lung Cancer Cell,N
X156453535923419.N,3,Pro-angiogenesis Macrophage,N
X156453536123117.T,9,Blood Cell,T
X156453536188133.T,9,Phagocytosis Macrophage,T
X156453536454564.N,11,cDC2,N
X156453554810165.T,1,CD8+ T cell,T
X156453555026341.T,0,CD4+ T cell,T
X156453555066590.T,0,CD4+ T cell,T
X156453555092398.T,0,T regulatory cells,T
X156453555301278.N,1,Effector/Memory CD8+ T cells,N
X156453555358427.T,8,Pancreatic Cancer Cell,T
X156463306500908.T,4,Macrophage,T
X156463306521325.N,2,Pro-angiogenesis Macrophage,N
X156463306566453.T,1,CD8+ T cell,T
X156463306815213.T,9,Blood Cell,T
X156463306815915.T,1,Exhausted CD8+ T cells,T
X156463306860459.T,1,CD8+ T cell,T
X156463321209582.N,4,Pro-angiogenesis Macrophage,N
X156463321274717.N,2,Pro-angiogenesis Macrophage,N
X156463321959836.N,0,Effector/Memory CD4+ T cells,N
X156463322057571.T,5,B Cell,T
X156463334283692.T,5,B Cell,T
X156463334541622.N,3,Pro-angiogenesis Macrophage,N
X156463352932660.N,3,Pro-angiogenesis Macrophage,N
X156463353490212.N,4,Macrophage,N
X156463353518363.N,3,Pro-angiogenesis Macrophage,N
X156515919842230.T,15,pDC,T
X156515920177069.N,4,Macrophage,N
X156515920361246.T,5,B Cell,T
X156515920463715.T,5,B Cell,T
X156515920637157.N,4,Pro-angiogenesis Macrophage,N
X156515920689518.N,0,Effector/Memory CD4+ T cells,N
X156515934521693.N,7,Pro-inflammatory Macrophage,N
X156515935317235.T,4,Macrophage,T
X156515935403357.T,5,B Cell,T
X156515947203446.T,0,T regulatory cells,T
X156515947698084.T,5,B Cell,T
X156515947899188.N,3,Pro-angiogenesis Macrophage,N
X156515947927836.N,13,Lung Cancer Cell,N
X156515965983662.N,2,Pro-angiogenesis Macrophage,N
X156515966015269.T,4,Macrophage,T
X156515966078246.N,3,Pro-angiogenesis Macrophage,N
X156515966830894.T,14,Mast cell,T
X156515966831861.N,0,Effector/Memory CD4+ T cells,N
X156933471194038.T,7,Macrophage,T
X156933471233822.T,1,Exhausted CD8+ T cells,T
X156933471296733.N,0,Effector/Memory CD4+ T cells,N
X156933471497116.T,2,Macrophage,T
X156933471521053.T,4,Macrophage,T
X156933471717285.N,10,Stromal Cell,N
X156933472050484.N,8,Normal Fibroblast,N
X156933485874012.N,0,Effector/Memory CD4+ T cells,N
X156933485911468.T,0,Effector/Memory CD8+ T cells,T
X156933486208884.N,6,Natural killer cell,N
X156933486492006.N,3,Pro-angiogenesis Macrophage,N
X156933486659939.T,2,Macrophage,T
X156933498517229.N,0,Effector/Memory CD4+ T cells,N
X156933517864158.T,1,CD8+ T cell,T
X156933517884267.T,2,Phagocytosis Macrophage,T
X156933517896606.N,0,Effector/Memory CD8+ T cells,N
X157004338228525.T,9,Exhausted CD8+ T cells,T
X157004338445621.N,3,Pro-angiogenesis Macrophage,N
X157004338521827.T,2,Phagocytosis Macrophage,T
X157004338941228.N,6,Natural killer cell,N
X157004352896244.T,0,CD4+ T cell,T
X157004352907566.T,0,CD4 or CD8 T cell,T
X157004352940894.T,4,Macrophage,T
X157004353129197.T,5,B Cell,T
X157004353719013.N,3,Pro-angiogenesis Macrophage,N
X157004365516190.T,0,CD4+ T cell,T
X157004366268659.N,2,Pro-angiogenesis Macrophage,N
X157004366298333.N,2,Pro-angiogenesis Macrophage,N
X157004366301596.N,2,Pro-angiogenesis Macrophage,N
X157004366305189.T,0,Tfh/Th1 helper CD4+ T cells,T
X157004384352606.N,7,Pro-angiogenesis Macrophage,N
X157004384398252.N,2,Pro-angiogenesis Macrophage,N
X157004384561012.N,11,cDC1,N
X157004384845164.N,6,Natural killer cell,N
X157004384877918.N,3,Pro-angiogenesis Macrophage,N
X157004384882012.N,2,Pro-angiogenesis Macrophage,N
X157004385119590.T,2,Phagocytosis Macrophage,T
X157071983986420.T,0,CD4+ T cell,T
X157071984248622.T,8,CAFmyo,T
X157071984253340.T,4,Pro-angiogenesis Macrophage,T
X157071984740587.N,2,Pro-angiogenesis Macrophage,N
X157071998568876.T,0,Effector/Memory CD8+ T cells,T
X157071998637859.T,7,Macrophage,T
X157071998830443.T,4,Macrophage,T
X157071999350635.N,3,Pro-angiogenesis Macrophage,N
X157071999355188.T,5,B Cell,T
X157072011156398.N,2,Macrophage,N
X157072011450155.N,2,Pro-angiogenesis Macrophage,N
X157072011979182.T,5,B Cell,T
X157072030099310.N,4,Macrophage,N
X157072030615790.N,6,Natural killer cell,N
X157072030808931.N,1,Effector/Memory CD4+ T cells,N
X157140435458916.T,5,B Cell,T
X157140449934134.N,2,Pro-angiogenesis Macrophage,N
X157140450405598.N,6,Natural killer cell,N
X157140450494382.N,3,Pro-angiogenesis Macrophage,N
X157140462254502.N,6,Natural killer cell,N
X157140462528235.N,3,Pro-angiogenesis Macrophage,N
X157140462550389.N,0,Effector/Memory CD4+ T cells,N
X157140462721950.T,0,CD4+ T cell,T
X157140462758748.T,5,B Cell,T
X157140462819622.T,5,B Cell,T
X157140481101213.T,1,Effector/Memory CD8+ T cells,T
X157140481338203.N,3,Pro-angiogenesis Macrophage,N
X157140481595741.N,0,Effector/Memory CD4+ T cells,N
X157140481693620.T,0,CD4+ T cell,T
X157140481849646.N,0,CD4+ T cell,N
X157477590125478.N,2,Pro-angiogenesis Macrophage,N
X157477590222638.N,0,Effector/Memory CD4+ T cells,N
X157477605071284.N,2,Pro-angiogenesis Macrophage,N
X157477605330332.N,3,Pro-angiogenesis Macrophage,N
X157477605403869.N,4,Pro-angiogenesis Macrophage,N
X157477617232286.T,4,Macrophage,T
X157477617752358.N,3,Pro-angiogenesis Macrophage,N
X157477617752358.T,0,Tfh/Th1 helper CD4+ T cells,T
X157477636008756.T,1,Effector/Memory CD8+ T cells,T
X157477636594972.N,1,Effector/Memory CD4+ T cells,N
X157486582459614.T,5,B Cell,T
X157486582512548.T,6,Natural killer cell,T
X157486582544748.T,4,Phagocytosis Macrophage,T
X157486582721309.N,9,Pro-angiogenesis Macrophage,N
X157486582786870.N,3,Pro-angiogenesis Macrophage,N
X157486582815132.T,4,Macrophage,T
X157486583049116.N,3,Pro-angiogenesis Macrophage,N
X157486583310579.T,0,CD4+ T cell,T
X157486597166965.N,2,Pro-angiogenesis Macrophage,N
X157486597172588.T,4,CD4 or CD8 T cell,T
X157486597199798.N,2,Pro-angiogenesis Macrophage,N
X157486597455211.N,0,Blood Cell,N
X157486597491500.T,5,B Cell,T
X157486597748979.N,1,Effector/Memory CD4+ T cells,N
X157486597752683.T,5,B Cell,T
X157486597917086.T,4,B Cell,T
X157486597983580.N,3,Pro-angiogenesis Macrophage,N
X157486609716958.T,9,Exhausted CD8+ T cells,T
X157486609779102.T,1,CD8+ T cell,T
X157486610005342.T,10,CAFmyo,T
X157486610073524.N,0,Effector/Memory CD4+ T cells,N
X157486610073524.T,9,B Cell,T
X157486610299189.N,0,Effector/Memory CD4+ T cells,N
X157486628588902.N,1,Effector/Memory CD4+ T cells,N
X157486628620651.N,3,Pro-angiogenesis Macrophage,N
X157486629411227.N,15,pDC,N
X157486629468406.T,10,CAFinfla,T
X157536914094430.N,3,Pro-angiogenesis Macrophage,N
X157536914159461.T,5,B Cell,T
X157536914394405.T,0,CD4+ T cell,T
X157536914467556.T,0,Effector/Memory CD8+ T cells,T
X157536914687835.N,0,Effector/Memory CD8+ T cells,N
X157536928820150.N,2,Pro-angiogenesis Macrophage,N
X157536928840115.N,6,Natural killer cell,N
X157536928845043.N,3,Pro-angiogenesis Macrophage,N
X157536941370270.T,1,CD8+ T cell,T
X157536941469029.T,5,B Cell,T
X157536941914861.N,8,Lung Cancer Cell,N
X157536961023275.T,4,CD4 or CD8 T cell,T
X157537719499677.T,4,Macrophage,T
X157537719958317.T,4,Macrophage,T
X157537720035619.T,5,B Cell,T
