cell,integration_cluster,cell_type,sample_type
X125677966683052.T,8,Normal Fibroblast,T
X125677967129835.T,4,Phagocytosis Macrophage,T
X125677967195494.T,0,CD4+ T cell,T
X125677967206237.N,1,Effector/Memory CD8+ T cells,N
X125677967396214.T,1,Exhausted CD8+ T cells,T
X125719930591006.T,1,Exhausted CD8+ T cells,T
X125719930879285.T,4,Blood Cell,T
X125719930956142.N,6,Natural killer cell,N
X125719931173596.T,1,Effector/Memory CD8+ T cells,T
X125719931174116.T,0,CD4+ T cell,T
X125719931370420.N,3,Pro-angiogenesis Macrophage,N
X125719945533294.T,1,Effector/Memory CD8+ T cells,T
X125719945602932.T,0,CD4+ T cell,T
X125719945889629.N,1,CD4 or CD8 T cell,N
X125719946054046.T,0,CD4+ T cell,T
X125719946114997.N,3,Pro-angiogenesis Macrophage,N
X125719946156251.T,7,Macrophage or Dendritic Cell,T
X125719946160932.T,0,CD4+ T cell,T
X125719958116637.T,0,CD4+ T cell,T
X125719958210484.N,4,Pro-angiogenesis Macrophage,N
X125719958370141.T,0,Tfh/Th1 helper CD4+ T cells,T
X125719958379227.T,5,B Cell,T
X125719958673710.T,9,Macrophage or Dendritic Cell,T
X125719976790956.N,2,Pro-angiogenesis Macrophage,N
X125719976995620.N,3,Pro-angiogenesis Macrophage,N
X125719977314731.T,0,Effector/Memory CD8+ T cells,T
X125719977573619.T,10,CAFmyo,T
